X,Y,OBJECTID_1,OBJECTID,SWIS_CODE,PIN_SBL,ADD_CLASS,CONFIDENCE,FLD_VER,HN_TXT,HN_NUM,PD,PT,SN,ST,SD,COMMENTS,AKA,BLDG_ADDRE,ESRI_LOCAT,STREET_FUL
686267.463269252330065,1395170.603580512106419,54542,32951.00000,010100,06506900010010000000,PRIMARY,2.00000,,220,220,,,QUAIL,ST,,65.69-1-1,17080,220 QUAIL ST,220 QUAIL ST,220 Quail Street
686270.625008337199688,1395070.804239429533482,54565,32974.00000,010100,06506900010460000000,PRIMARY,2.00000,,446,446,,,HUDSON,AV,,65.69-1-46,18075,446 HUDSON AV,446 HUDSON AV,446 Hudson Avenue
686210.445666752755642,1395104.515130013227463,54566,32975.00000,010100,06506900010470000000,PRIMARY,2.00000,,224,224,,,QUAIL,ST,,65.69-1-47,17079,224 QUAIL ST,224 QUAIL ST,224 Quail Street
686203.426651921123266,1395078.453174263238907,54567,32976.00000,010100,06506900010480000000,PRIMARY,2.00000,,226,226,,,QUAIL,ST,,65.69-1-48,17078,226 QUAIL ST,226 QUAIL ST,226 Quail Street
686182.369607418775558,1395053.72783000767231,54568,32977.00000,010100,06506900010490000000,PRIMARY,2.00000,,230,230,,,QUAIL,ST,,65.69-1-49,17077,230 QUAIL ST,230 QUAIL ST,230 Quail Street
686146.940544418990612,1395005.613753013312817,54570,32979.00000,010100,06506900010510000000,PRIMARY,2.00000,,236,236,,,QUAIL,ST,,65.69-1-51,17075,236 QUAIL ST,236 QUAIL ST,236 Quail Street
686132.568197838962078,1394985.90020976215601,54571,32980.00000,010100,06506900010520000000,PRIMARY,2.00000,,238,238,,,QUAIL,ST,,65.69-1-52,17074,238 QUAIL ST,238 QUAIL ST,238 Quail Street
686112.848092921078205,1394962.84546584635973,54572,32981.00000,010100,06506900010530000000,PRIMARY,2.00000,,240,240,,,QUAIL,ST,,65.69-1-53,17073,240 QUAIL ST,240 QUAIL ST,240 Quail Street
686161.981196753680706,1395026.3295908421278,54569,32978.00000,010100,06506900010500000000,PRIMARY,2.00000,,234,234,,,QUAIL,ST,,65.69-1-50,17076,234 QUAIL ST,234 QUAIL ST,234 Quail Street
686070.66346600279212,1395206.682248510420322,54594,33004.00000,010100,06506900020080000000,PRIMARY,2.00000,,452,452,,,HUDSON,AV,,65.69-2-8,18077,452 HUDSON AV,452 HUDSON AV,452 Hudson Avenue
686086.07518058642745,1395195.505105510354042,54595,33005.00000,010100,06506900020090000000,PRIMARY,2.00000,,450,450,,,HUDSON,AV,,65.69-2-9,18076,450 HUDSON AV,450 HUDSON AV,450 Hudson Avenue
686142.196131337434053,1395156.316535592079163,54596,33006.00000,010100,06506900020100000000,PRIMARY,2.00000,,233,233,,,QUAIL,ST,,65.69-2-10,17112,233 QUAIL ST,233 QUAIL ST,233 Quail Street
686103.820880003273487,1395105.28481350839138,54597,33007.00000,010100,06506900020110000000,PRIMARY,2.00000,,239,239,,,QUAIL,ST,,65.69-2-11,17111,239 QUAIL ST,239 QUAIL ST,239 Quail Street
686075.663456004112959,1395067.756345257163048,54598,33008.00000,010100,06506900020120000000,PRIMARY,2.00000,,243,243,,,QUAIL,ST,,65.69-2-12,17110,243 QUAIL ST,243 QUAIL ST,243 Quail Street
686015.56252633780241,1395003.10588400810957,54599,33009.00000,010100,06506900020130000000,PRIMARY,2.00000,,445,445,,,HAMILTON,ST,,65.69-2-13,18022,445 HAMILTON ST,445 HAMILTON ST,445 Hamilton Street
